filename,psnr,ssim,mae,mse,lpips
00001.png,15.5211,0.6427,0.1350,0.0280,0.2401
00005.png,20.1178,0.7198,0.0827,0.0097,0.1265
00017.png,11.8281,0.4692,0.2445,0.0656,0.3407
00040.png,20.6639,0.6664,0.0724,0.0086,0.2491
00043.png,16.3954,0.6499,0.1353,0.0229,0.2432
00051.png,21.1624,0.6427,0.0731,0.0077,0.2127
00059.png,20.0003,0.6232,0.0832,0.0100,0.2399
00079.png,16.0692,0.5583,0.1484,0.0247,0.3058
00091.png,23.2776,0.5817,0.0555,0.0047,0.3419
00101.png,17.8048,0.5536,0.1138,0.0166,0.3182
average,18.2841,0.6108,0.1144,0.0199,0.2618
