filename,psnr,ssim,mae,mse,lpips
00001.png,15.5878,0.6534,0.1340,0.0276,0.2379
00005.png,20.7030,0.7438,0.0759,0.0085,0.1133
00017.png,12.0629,0.4941,0.2386,0.0622,0.3166
00040.png,21.0809,0.6888,0.0682,0.0078,0.2207
00043.png,16.7842,0.6891,0.1292,0.0210,0.2030
00051.png,21.4362,0.6577,0.0716,0.0072,0.2215
00059.png,20.5853,0.6651,0.0755,0.0087,0.1948
00079.png,16.6954,0.5870,0.1370,0.0214,0.2858
00091.png,23.2420,0.6094,0.0551,0.0047,0.3036
00101.png,18.0216,0.5690,0.1098,0.0158,0.3051
average,18.6199,0.6357,0.1095,0.0185,0.2402
