alpha_max,psnr,ssim,mae,mse,lpips,delta_ab
0.0,18.43574,0.62839,0.11264,0.019370000000000002,0.24867,9.509630000000001
0.1,18.45742,0.6298199999999999,0.11245000000000001,0.01931,0.24824000000000002,9.378989999999998
0.2,18.478469999999998,0.6312400000000001,0.11227000000000001,0.01924,0.24781,9.304730000000001
0.3,18.49893,0.63261,0.11209,0.01919,0.24741,9.225570000000001
0.4,18.51881,0.6339699999999999,0.11191,0.01915,0.24702000000000002,9.1457
0.5,18.53821,0.63532,0.11177999999999999,0.0191,0.24664000000000003,9.06546
