variant,psnr,ssim,mae,mse,lpips,delta_ab
guided_enhanced,18.4591,0.6285,0.1122,0.0193,0.2486,9.5235
guided_color_corrected_b,18.5382,0.6353,0.1118,0.0191,0.2466,9.0655
