filename,psnr,ssim,mae,mse,lpips
00001.png,11.4451,0.4539,0.2120,0.0717,0.3863
00005.png,9.1608,0.4465,0.3107,0.1213,0.3851
00017.png,15.5518,0.4362,0.1345,0.0278,0.4823
00040.png,8.6461,0.5617,0.3369,0.1366,0.5345
00043.png,11.6426,0.6217,0.2235,0.0685,0.3902
00051.png,8.9872,0.3697,0.2946,0.1263,0.4691
00059.png,9.5920,0.6114,0.3056,0.1099,0.4000
00079.png,10.9816,0.5293,0.2591,0.0798,0.5711
00091.png,8.3281,0.6582,0.3572,0.1470,0.5185
00101.png,12.0582,0.4963,0.1975,0.0623,0.4332
average,10.6393,0.5185,0.2632,0.0951,0.4570
