filename,psnr,ssim,mae,mse,lpips
00001.png,14.5390,0.6459,0.1682,0.0352,0.2261
00005.png,16.6083,0.7347,0.1407,0.0218,0.1019
00017.png,10.0393,0.4372,0.3008,0.0991,0.3332
00040.png,15.7446,0.7042,0.1579,0.0266,0.2178
00043.png,14.2872,0.6742,0.1878,0.0373,0.2144
00051.png,20.3175,0.6757,0.0848,0.0093,0.1779
00059.png,16.4846,0.6557,0.1413,0.0225,0.2068
00079.png,12.5025,0.5881,0.2336,0.0562,0.2929
00091.png,22.6473,0.6348,0.0596,0.0054,0.2861
00101.png,14.5794,0.5401,0.1729,0.0348,0.3046
average,15.7750,0.6291,0.1648,0.0348,0.2362
