filename,psnr,ssim,mae,mse,lpips
00001.png,15.8904,0.5625,0.1221,0.0258,0.2843
00005.png,13.4605,0.6129,0.1774,0.0451,0.1796
00017.png,16.8528,0.4998,0.1180,0.0206,0.3319
00040.png,12.7938,0.5550,0.2044,0.0526,0.3259
00043.png,15.2495,0.5953,0.1448,0.0299,0.2583
00051.png,13.0595,0.5081,0.1752,0.0494,0.3239
00059.png,13.1206,0.5432,0.1969,0.0487,0.2891
00079.png,16.0113,0.4958,0.1377,0.0251,0.3516
00091.png,10.4077,0.4786,0.2782,0.0910,0.4478
00101.png,16.7035,0.5088,0.1164,0.0214,0.3554
average,14.3550,0.5360,0.1671,0.0410,0.3148
