filename,psnr,ssim,mae,mse,lpips
00001.png,15.5554,0.6389,0.1346,0.0278,0.2341
00005.png,20.1146,0.7139,0.0826,0.0097,0.1197
00017.png,11.9168,0.4628,0.2405,0.0643,0.3380
00040.png,20.7530,0.6642,0.0716,0.0084,0.2343
00043.png,16.4906,0.6430,0.1330,0.0224,0.2283
00051.png,20.8891,0.6407,0.0749,0.0081,0.2013
00059.png,19.9531,0.6172,0.0833,0.0101,0.2330
00079.png,16.2306,0.5519,0.1447,0.0238,0.3037
00091.png,23.0192,0.5768,0.0568,0.0050,0.3324
00101.png,17.8550,0.5479,0.1124,0.0164,0.3173
average,18.2777,0.6057,0.1134,0.0196,0.2542
