filename,psnr,ssim,mae,mse,lpips
00001.png,15.5271,0.6442,0.1349,0.0280,0.2398
00005.png,20.1739,0.7216,0.0821,0.0096,0.1217
00017.png,11.8651,0.4705,0.2433,0.0651,0.3368
00040.png,20.7048,0.6698,0.0720,0.0085,0.2409
00043.png,16.4291,0.6527,0.1345,0.0228,0.2366
00051.png,21.1383,0.6462,0.0732,0.0077,0.2096
00059.png,20.0409,0.6253,0.0827,0.0099,0.2350
00079.png,16.1299,0.5594,0.1472,0.0244,0.3031
00091.png,23.2590,0.5836,0.0555,0.0047,0.3363
00101.png,17.8383,0.5538,0.1132,0.0165,0.3165
average,18.3106,0.6127,0.1139,0.0197,0.2576
