filename,psnr,ssim,mae,mse,lpips
00001.png,15.5015,0.6443,0.1350,0.0282,0.2522
00005.png,20.1054,0.7312,0.0828,0.0098,0.1301
00017.png,11.7862,0.4841,0.2467,0.0663,0.3337
00040.png,20.6596,0.6694,0.0721,0.0086,0.2481
00043.png,16.3520,0.6617,0.1363,0.0232,0.2445
00051.png,21.2797,0.6456,0.0726,0.0074,0.2358
00059.png,20.1010,0.6462,0.0824,0.0098,0.2262
00079.png,15.9910,0.5743,0.1506,0.0252,0.3102
00091.png,23.5340,0.5967,0.0540,0.0044,0.3271
00101.png,17.7477,0.5608,0.1150,0.0168,0.3192
average,18.3058,0.6214,0.1147,0.0200,0.2627
