filename,psnr,ssim,mae,mse,lpips
00001.png,15.5395,0.6479,0.1343,0.0279,0.2433
00005.png,20.2768,0.7337,0.0810,0.0094,0.1221
00017.png,11.8369,0.4843,0.2452,0.0655,0.3284
00040.png,20.7559,0.6770,0.0715,0.0084,0.2345
00043.png,16.4302,0.6645,0.1348,0.0228,0.2310
00051.png,21.3316,0.6514,0.0721,0.0074,0.2223
00059.png,20.2079,0.6428,0.0807,0.0095,0.2233
00079.png,16.1192,0.5713,0.1479,0.0244,0.3008
00091.png,23.4365,0.5944,0.0546,0.0045,0.3247
00101.png,17.8164,0.5617,0.1137,0.0165,0.3154
average,18.3751,0.6229,0.1136,0.0196,0.2546
