filename,psnr,ssim,mae,mse,lpips
00001.png,12.7276,0.5741,0.2197,0.0534,0.2362
00005.png,11.9127,0.6249,0.2485,0.0644,0.1234
00017.png,7.8886,0.3334,0.3791,0.1626,0.3769
00040.png,10.9994,0.6310,0.2732,0.0794,0.2232
00043.png,10.0780,0.6098,0.3068,0.0982,0.2331
00051.png,15.4580,0.6147,0.1618,0.0285,0.1673
00059.png,11.0316,0.6063,0.2749,0.0789,0.2130
00079.png,8.6324,0.5289,0.3661,0.1370,0.3179
00091.png,13.7670,0.6588,0.2017,0.0420,0.2734
00101.png,11.3033,0.4487,0.2465,0.0741,0.3257
average,11.3799,0.5631,0.2678,0.0819,0.2490
