filename,psnr,ssim,mae,mse,lpips
00001.png,15.5083,0.6438,0.1355,0.0281,0.2408
00005.png,20.2597,0.7214,0.0810,0.0094,0.1161
00017.png,12.0236,0.4695,0.2373,0.0628,0.3301
00040.png,20.8265,0.6749,0.0707,0.0083,0.2288
00043.png,16.5566,0.6513,0.1315,0.0221,0.2255
00051.png,20.8737,0.6498,0.0750,0.0082,0.2056
00059.png,20.0919,0.6257,0.0815,0.0098,0.2265
00079.png,16.3735,0.5601,0.1420,0.0230,0.3020
00091.png,23.0129,0.5821,0.0567,0.0050,0.3261
00101.png,17.9337,0.5518,0.1112,0.0161,0.3145
average,18.3460,0.6130,0.1122,0.0193,0.2516
