filename,psnr,ssim,mae,mse,lpips
00001.png,15.5212,0.6433,0.1351,0.0280,0.2404
00005.png,20.1831,0.7194,0.0819,0.0096,0.1194
00017.png,11.9113,0.4685,0.2415,0.0644,0.3347
00040.png,20.7300,0.6694,0.0717,0.0085,0.2336
00043.png,16.4639,0.6500,0.1336,0.0226,0.2299
00051.png,21.0090,0.6456,0.0741,0.0079,0.2056
00059.png,20.0367,0.6229,0.0825,0.0099,0.2311
00079.png,16.2007,0.5566,0.1456,0.0240,0.3029
00091.png,23.1657,0.5808,0.0560,0.0048,0.3297
00101.png,17.8682,0.5517,0.1125,0.0163,0.3158
average,18.3090,0.6108,0.1135,0.0196,0.2543
