filename,psnr,ssim,mae,mse,lpips
00001.png,15.5092,0.6446,0.1356,0.0281,0.2408
00005.png,20.3011,0.7231,0.0806,0.0093,0.1152
00017.png,12.1163,0.4712,0.2340,0.0614,0.3281
00040.png,20.8869,0.6787,0.0702,0.0082,0.2289
00043.png,16.6467,0.6540,0.1298,0.0216,0.2240
00051.png,20.7820,0.6527,0.0757,0.0084,0.2052
00059.png,20.1275,0.6283,0.0808,0.0097,0.2255
00079.png,16.5218,0.5634,0.1387,0.0223,0.3007
00091.png,22.9070,0.5846,0.0572,0.0051,0.3259
00101.png,17.9867,0.5523,0.1101,0.0159,0.3141
average,18.3785,0.6153,0.1113,0.0190,0.2508
