filename,psnr,ssim,mae,mse,lpips
00001.png,15.5058,0.6510,0.1349,0.0281,0.2499
00005.png,19.9682,0.7271,0.0835,0.0101,0.1419
00017.png,11.7203,0.4874,0.2488,0.0673,0.3348
00040.png,20.5672,0.6710,0.0730,0.0088,0.2544
00043.png,16.3180,0.6804,0.1375,0.0233,0.2393
00051.png,21.3672,0.6303,0.0720,0.0073,0.2571
00059.png,20.0846,0.6783,0.0827,0.0098,0.2054
00079.png,15.9163,0.5794,0.1525,0.0256,0.3249
00091.png,23.6914,0.6238,0.0536,0.0043,0.2938
00101.png,17.6827,0.5700,0.1163,0.0171,0.3104
average,18.2822,0.6299,0.1155,0.0202,0.2612
