filename,psnr,ssim,mae,mse,lpips
00001.png,15.6040,0.6454,0.1340,0.0275,0.2335
00005.png,20.3283,0.7219,0.0803,0.0093,0.1149
00017.png,12.0721,0.4691,0.2356,0.0621,0.3294
00040.png,20.9237,0.6760,0.0701,0.0081,0.2286
00043.png,16.6588,0.6499,0.1297,0.0216,0.2221
00051.png,20.9030,0.6518,0.0747,0.0081,0.2025
00059.png,20.1428,0.6263,0.0807,0.0097,0.2262
00079.png,16.5023,0.5612,0.1392,0.0224,0.3000
00091.png,22.8730,0.5823,0.0574,0.0052,0.3270
00101.png,17.9623,0.5543,0.1105,0.0160,0.3143
average,18.3970,0.6138,0.1112,0.0190,0.2498
