filename,psnr,ssim,mae,mse,lpips
00001.png,8.3952,0.4117,0.3125,0.1447,0.4959
00005.png,7.2988,0.3561,0.3959,0.1863,0.5612
00017.png,12.1686,0.3821,0.1958,0.0607,0.5992
00040.png,7.8287,0.5315,0.3700,0.1649,0.6519
00043.png,10.0554,0.5657,0.2694,0.0987,0.5235
00051.png,7.2311,0.2973,0.3752,0.1892,0.5960
00059.png,8.3673,0.5810,0.3538,0.1456,0.5261
00079.png,8.8183,0.5344,0.3314,0.1313,0.7059
00091.png,7.7558,0.6474,0.3829,0.1677,0.5837
00101.png,9.7128,0.4427,0.2693,0.1068,0.5334
average,8.7632,0.4750,0.3256,0.1396,0.5777
