filename,psnr,ssim,mae,mse,lpips
00001.png,14.9075,0.5668,0.1427,0.0323,0.3167
00005.png,20.6598,0.7187,0.0748,0.0086,0.1487
00017.png,14.7601,0.4888,0.1551,0.0334,0.4046
00040.png,20.7440,0.6686,0.0711,0.0084,0.2372
00043.png,16.9688,0.6572,0.1207,0.0201,0.2447
00051.png,18.1110,0.5766,0.0981,0.0154,0.3277
00059.png,20.4645,0.6354,0.0754,0.0090,0.2332
00079.png,18.7000,0.5346,0.0989,0.0135,0.3803
00091.png,20.2829,0.5602,0.0698,0.0094,0.3764
00101.png,18.1178,0.5053,0.0947,0.0154,0.4160
average,18.3716,0.5912,0.1001,0.0166,0.3085
