filename,psnr,ssim,mae,mse,lpips
00001.png,15.5141,0.6487,0.1348,0.0281,0.2491
00005.png,20.0762,0.7331,0.0826,0.0098,0.1343
00017.png,11.7553,0.4903,0.2478,0.0668,0.3310
00040.png,20.6786,0.6783,0.0720,0.0086,0.2356
00043.png,16.3660,0.6819,0.1365,0.0231,0.2266
00051.png,21.3903,0.6382,0.0718,0.0073,0.2490
00059.png,20.1557,0.6730,0.0818,0.0096,0.1982
00079.png,15.9954,0.5842,0.1510,0.0251,0.3105
00091.png,23.6524,0.6197,0.0534,0.0043,0.2986
00101.png,17.7341,0.5699,0.1154,0.0168,0.3094
average,18.3318,0.6317,0.1147,0.0200,0.2542
