filename,psnr,ssim,mae,mse,lpips
00001.png,15.5041,0.6447,0.1351,0.0282,0.2469
00005.png,20.2004,0.7287,0.0818,0.0095,0.1232
00017.png,11.8471,0.4790,0.2446,0.0654,0.3316
00040.png,20.6951,0.6704,0.0718,0.0085,0.2405
00043.png,16.4017,0.6570,0.1351,0.0229,0.2383
00051.png,21.1859,0.6489,0.0731,0.0076,0.2211
00059.png,20.1372,0.6366,0.0816,0.0097,0.2278
00079.png,16.0911,0.5678,0.1483,0.0246,0.3046
00091.png,23.4414,0.5906,0.0545,0.0045,0.3260
00101.png,17.8066,0.5574,0.1138,0.0166,0.3175
average,18.3311,0.6181,0.1140,0.0198,0.2577
