filename,psnr,ssim,mae,mse,lpips
00001.png,15.6047,0.6545,0.1338,0.0275,0.2368
00005.png,20.7719,0.7448,0.0751,0.0084,0.1125
00017.png,12.0993,0.4944,0.2375,0.0617,0.3164
00040.png,21.1257,0.6881,0.0677,0.0077,0.2223
00043.png,16.8605,0.6932,0.1283,0.0206,0.1992
00051.png,21.4552,0.6569,0.0715,0.0072,0.2228
00059.png,20.6489,0.6683,0.0745,0.0086,0.1894
00079.png,16.8233,0.5872,0.1344,0.0208,0.2839
00091.png,23.1358,0.6117,0.0556,0.0049,0.2983
00101.png,18.0446,0.5690,0.1092,0.0157,0.3049
average,18.6570,0.6368,0.1088,0.0183,0.2386
