filename,psnr,ssim,mae,mse,lpips
00001.png,15.5050,0.6508,0.1349,0.0282,0.2529
00005.png,19.9539,0.7256,0.0836,0.0101,0.1431
00017.png,11.7159,0.4869,0.2489,0.0674,0.3355
00040.png,20.5445,0.6687,0.0733,0.0088,0.2620
00043.png,16.3106,0.6779,0.1376,0.0234,0.2466
00051.png,21.3644,0.6292,0.0720,0.0073,0.2582
00059.png,20.0716,0.6769,0.0828,0.0098,0.2130
00079.png,15.9055,0.5762,0.1527,0.0257,0.3297
00091.png,23.6817,0.6187,0.0537,0.0043,0.3094
00101.png,17.6737,0.5692,0.1165,0.0171,0.3121
average,18.2727,0.6280,0.1156,0.0202,0.2662
