filename,psnr,ssim,mae,mse,lpips
00001.png,15.5227,0.6435,0.1347,0.0280,0.2445
00005.png,20.0726,0.7189,0.0832,0.0098,0.1417
00017.png,11.7721,0.4719,0.2466,0.0665,0.3492
00040.png,20.6061,0.6607,0.0730,0.0087,0.2710
00043.png,16.3432,0.6479,0.1365,0.0232,0.2660
00051.png,21.2687,0.6369,0.0725,0.0075,0.2409
00059.png,20.0003,0.6261,0.0834,0.0100,0.2531
00079.png,15.9758,0.5613,0.1506,0.0253,0.3159
00091.png,23.3895,0.5826,0.0549,0.0046,0.3670
00101.png,17.7499,0.5560,0.1149,0.0168,0.3180
average,18.2701,0.6106,0.1150,0.0200,0.2767
