filename,psnr,ssim,mae,mse,lpips
00001.png,15.5271,0.6462,0.1345,0.0280,0.2450
00005.png,20.1672,0.7295,0.0822,0.0096,0.1291
00017.png,11.7903,0.4809,0.2465,0.0662,0.3361
00040.png,20.6684,0.6703,0.0723,0.0086,0.2496
00043.png,16.3739,0.6592,0.1359,0.0230,0.2470
00051.png,21.3160,0.6445,0.0722,0.0074,0.2300
00059.png,20.1294,0.6399,0.0819,0.0097,0.2315
00079.png,16.0223,0.5685,0.1498,0.0250,0.3061
00091.png,23.4539,0.5927,0.0545,0.0045,0.3387
00101.png,17.7682,0.5605,0.1146,0.0167,0.3176
average,18.3217,0.6192,0.1144,0.0199,0.2631
