filename,psnr,ssim,mae,mse,lpips
00001.png,11.8801,0.6124,0.2305,0.0649,0.2307
00005.png,13.3546,0.6906,0.2083,0.0462,0.1167
00017.png,8.6231,0.3999,0.3501,0.1373,0.3447
00040.png,12.1704,0.6843,0.2377,0.0607,0.2152
00043.png,10.3276,0.6461,0.2957,0.0927,0.2337
00051.png,16.3126,0.6507,0.1412,0.0234,0.1799
00059.png,12.3960,0.6530,0.2338,0.0576,0.2064
00079.png,9.9253,0.5735,0.3144,0.1017,0.2996
00091.png,14.8393,0.6700,0.1738,0.0328,0.2883
00101.png,12.4143,0.5096,0.2178,0.0574,0.3146
average,12.2243,0.6090,0.2403,0.0675,0.2430
