filename,psnr,ssim,mae,mse,lpips
00001.png,15.8071,0.6356,0.1245,0.0263,0.2578
00005.png,20.9653,0.7326,0.0730,0.0080,0.1276
00017.png,12.8167,0.5008,0.2165,0.0523,0.3312
00040.png,21.0744,0.6740,0.0677,0.0078,0.2287
00043.png,16.8974,0.6692,0.1234,0.0204,0.2279
00051.png,20.6637,0.6410,0.0771,0.0086,0.2414
00059.png,20.9538,0.6465,0.0725,0.0080,0.2200
00079.png,17.7657,0.5637,0.1162,0.0167,0.3234
00091.png,22.7122,0.5907,0.0585,0.0054,0.3342
00101.png,19.0851,0.5648,0.0938,0.0123,0.3235
average,18.8741,0.6219,0.1023,0.0166,0.2616
