filename,psnr,ssim,mae,mse,lpips
00001.png,15.5542,0.6504,0.1343,0.0278,0.2415
00005.png,20.4324,0.7388,0.0791,0.0091,0.1176
00017.png,11.9107,0.4889,0.2430,0.0644,0.3221
00040.png,20.8845,0.6856,0.0702,0.0082,0.2241
00043.png,16.5242,0.6724,0.1330,0.0223,0.2206
00051.png,21.3701,0.6567,0.0718,0.0073,0.2196
00059.png,20.3303,0.6501,0.0790,0.0093,0.2140
00079.png,16.2829,0.5781,0.1449,0.0235,0.2965
00091.png,23.4170,0.5993,0.0544,0.0046,0.3178
00101.png,17.8851,0.5651,0.1125,0.0163,0.3119
average,18.4591,0.6285,0.1122,0.0193,0.2486
