filename,psnr,ssim,mae,mse,lpips
00001.png,15.5694,0.6356,0.1345,0.0277,0.2324
00005.png,20.0863,0.7121,0.0830,0.0098,0.1200
00017.png,11.9147,0.4611,0.2402,0.0643,0.3390
00040.png,20.7614,0.6620,0.0715,0.0084,0.2352
00043.png,16.4959,0.6400,0.1328,0.0224,0.2289
00051.png,20.8369,0.6385,0.0753,0.0082,0.2009
00059.png,19.9264,0.6156,0.0835,0.0102,0.2335
00079.png,16.2344,0.5505,0.1445,0.0238,0.3042
00091.png,22.9701,0.5756,0.0570,0.0050,0.3333
00101.png,17.7542,0.5439,0.1128,0.0168,0.3187
average,18.2550,0.6035,0.1135,0.0197,0.2546
