filename,psnr,ssim,mae,mse,lpips
00001.png,15.5216,0.6434,0.1351,0.0280,0.2404
00005.png,20.1834,0.7195,0.0819,0.0096,0.1194
00017.png,11.9095,0.4686,0.2415,0.0644,0.3347
00040.png,20.7293,0.6694,0.0717,0.0085,0.2338
00043.png,16.4627,0.6502,0.1337,0.0226,0.2301
00051.png,21.0148,0.6456,0.0740,0.0079,0.2057
00059.png,20.0373,0.6230,0.0825,0.0099,0.2312
00079.png,16.1981,0.5567,0.1456,0.0240,0.3029
00091.png,23.1700,0.5809,0.0560,0.0048,0.3299
00101.png,17.8672,0.5518,0.1126,0.0163,0.3158
average,18.3094,0.6109,0.1135,0.0196,0.2544
